start,length,bound,cost,expended,algorithm
"(2, 6, 3, 1, 4, 7, 8, 5)",8,60,60,112,DFBnB
"(2, 6, 3, 1, 4, 7, 8, 5)",8,50,50,185,DFBnB
"(2, 6, 3, 1, 4, 7, 8, 5)",8,40,40,156,DFBnB
"(2, 6, 3, 1, 4, 7, 8, 5)",8,30,30,317,DFBnB
"(12, 14, 1, 11, 2, 6, 7, 13, 8, 3, 9, 10, 4, 15, 5)",15,0,14,13729,IDA*
"(12, 14, 1, 11, 2, 6, 7, 13, 8, 3, 9, 10, 4, 15, 5)",15,70,70,57840,DFBnB
"(12, 14, 1, 11, 2, 6, 7, 13, 8, 3, 9, 10, 4, 15, 5)",15,60,60,49328,DFBnB
"(12, 14, 1, 11, 2, 6, 7, 13, 8, 3, 9, 10, 4, 15, 5)",15,50,50,57701,DFBnB
"(12, 14, 1, 11, 2, 6, 7, 13, 8, 3, 9, 10, 4, 15, 5)",15,40,40,86599,DFBnB
"(12, 14, 1, 11, 2, 6, 7, 13, 8, 3, 9, 10, 4, 15, 5)",15,30,30,11860,DFBnB
"(9, 10, 7, 2, 15, 1, 14, 13, 8, 11, 12, 6, 4, 5, 3)",15,0,13,95871,IDA*
"(9, 10, 7, 2, 15, 1, 14, 13, 8, 11, 12, 6, 4, 5, 3)",15,70,70,331469,DFBnB
"(9, 10, 7, 2, 15, 1, 14, 13, 8, 11, 12, 6, 4, 5, 3)",15,60,60,295566,DFBnB
"(9, 10, 7, 2, 15, 1, 14, 13, 8, 11, 12, 6, 4, 5, 3)",15,50,50,402685,DFBnB
"(9, 10, 7, 2, 15, 1, 14, 13, 8, 11, 12, 6, 4, 5, 3)",15,40,40,42021,DFBnB
"(9, 10, 7, 2, 15, 1, 14, 13, 8, 11, 12, 6, 4, 5, 3)",15,30,30,93110,DFBnB
"(1, 5, 15, 8, 12, 11, 13, 10, 14, 6, 3, 2, 4, 7, 9)",15,0,14,6237,IDA*
"(1, 5, 15, 8, 12, 11, 13, 10, 14, 6, 3, 2, 4, 7, 9)",15,70,70,50017,DFBnB
"(1, 5, 15, 8, 12, 11, 13, 10, 14, 6, 3, 2, 4, 7, 9)",15,60,60,6554,DFBnB
"(1, 5, 15, 8, 12, 11, 13, 10, 14, 6, 3, 2, 4, 7, 9)",15,50,50,5986,DFBnB
"(1, 5, 15, 8, 12, 11, 13, 10, 14, 6, 3, 2, 4, 7, 9)",15,40,40,6640,DFBnB
"(1, 5, 15, 8, 12, 11, 13, 10, 14, 6, 3, 2, 4, 7, 9)",15,30,30,216210,DFBnB
"(1, 8, 15, 10, 14, 13, 7, 2, 9, 6, 12, 5, 11, 4, 3)",15,0,14,76852,IDA*
"(1, 8, 15, 10, 14, 13, 7, 2, 9, 6, 12, 5, 11, 4, 3)",15,70,70,3068,DFBnB
"(1, 8, 15, 10, 14, 13, 7, 2, 9, 6, 12, 5, 11, 4, 3)",15,60,60,48644,DFBnB
"(1, 8, 15, 10, 14, 13, 7, 2, 9, 6, 12, 5, 11, 4, 3)",15,50,50,20047,DFBnB
"(1, 8, 15, 10, 14, 13, 7, 2, 9, 6, 12, 5, 11, 4, 3)",15,40,40,18659,DFBnB
"(1, 8, 15, 10, 14, 13, 7, 2, 9, 6, 12, 5, 11, 4, 3)",15,30,30,6117,DFBnB
"(2, 15, 3, 8, 5, 9, 11, 1, 4, 6, 7, 14, 10, 12, 13)",15,0,13,15672,IDA*
"(2, 15, 3, 8, 5, 9, 11, 1, 4, 6, 7, 14, 10, 12, 13)",15,70,70,67349,DFBnB
"(2, 15, 3, 8, 5, 9, 11, 1, 4, 6, 7, 14, 10, 12, 13)",15,60,60,3307,DFBnB
"(2, 15, 3, 8, 5, 9, 11, 1, 4, 6, 7, 14, 10, 12, 13)",15,50,50,1410,DFBnB
"(2, 15, 3, 8, 5, 9, 11, 1, 4, 6, 7, 14, 10, 12, 13)",15,40,40,4029,DFBnB
"(2, 15, 3, 8, 5, 9, 11, 1, 4, 6, 7, 14, 10, 12, 13)",15,30,30,8056,DFBnB
"(14, 10, 2, 6, 5, 3, 1, 9, 12, 4, 8, 11, 7, 13, 15)",15,0,14,3311,IDA*
"(14, 10, 2, 6, 5, 3, 1, 9, 12, 4, 8, 11, 7, 13, 15)",15,70,70,352,DFBnB
"(14, 10, 2, 6, 5, 3, 1, 9, 12, 4, 8, 11, 7, 13, 15)",15,60,60,294,DFBnB
"(14, 10, 2, 6, 5, 3, 1, 9, 12, 4, 8, 11, 7, 13, 15)",15,50,50,1071,DFBnB
"(14, 10, 2, 6, 5, 3, 1, 9, 12, 4, 8, 11, 7, 13, 15)",15,40,40,814,DFBnB
"(14, 10, 2, 6, 5, 3, 1, 9, 12, 4, 8, 11, 7, 13, 15)",15,30,30,389,DFBnB
"(8, 6, 5, 2, 3, 15, 7, 9, 4, 1, 12, 10, 14, 11, 13)",15,0,14,22357,IDA*
"(8, 6, 5, 2, 3, 15, 7, 9, 4, 1, 12, 10, 14, 11, 13)",15,70,70,37364,DFBnB
"(8, 6, 5, 2, 3, 15, 7, 9, 4, 1, 12, 10, 14, 11, 13)",15,60,60,23693,DFBnB
"(8, 6, 5, 2, 3, 15, 7, 9, 4, 1, 12, 10, 14, 11, 13)",15,50,50,20892,DFBnB
"(8, 6, 5, 2, 3, 15, 7, 9, 4, 1, 12, 10, 14, 11, 13)",15,40,40,10956,DFBnB
"(8, 6, 5, 2, 3, 15, 7, 9, 4, 1, 12, 10, 14, 11, 13)",15,30,30,10990,DFBnB
"(8, 13, 4, 11, 14, 3, 10, 1, 6, 5, 15, 12, 7, 9, 2)",15,0,15,111549,IDA*
"(8, 13, 4, 11, 14, 3, 10, 1, 6, 5, 15, 12, 7, 9, 2)",15,70,70,83016,DFBnB
"(8, 13, 4, 11, 14, 3, 10, 1, 6, 5, 15, 12, 7, 9, 2)",15,60,60,246196,DFBnB
"(8, 13, 4, 11, 14, 3, 10, 1, 6, 5, 15, 12, 7, 9, 2)",15,50,50,359717,DFBnB
"(8, 13, 4, 11, 14, 3, 10, 1, 6, 5, 15, 12, 7, 9, 2)",15,40,40,69636,DFBnB
"(8, 13, 4, 11, 14, 3, 10, 1, 6, 5, 15, 12, 7, 9, 2)",15,30,30,54706,DFBnB
"(5, 7, 8, 2, 1, 4, 15, 3, 6, 13, 12, 10, 14, 9, 11)",15,0,13,41330,IDA*
"(5, 7, 8, 2, 1, 4, 15, 3, 6, 13, 12, 10, 14, 9, 11)",15,70,70,124125,DFBnB
"(5, 7, 8, 2, 1, 4, 15, 3, 6, 13, 12, 10, 14, 9, 11)",15,60,60,18800,DFBnB
"(5, 7, 8, 2, 1, 4, 15, 3, 6, 13, 12, 10, 14, 9, 11)",15,50,50,40784,DFBnB
"(5, 7, 8, 2, 1, 4, 15, 3, 6, 13, 12, 10, 14, 9, 11)",15,40,40,121976,DFBnB
"(5, 7, 8, 2, 1, 4, 15, 3, 6, 13, 12, 10, 14, 9, 11)",15,30,30,154727,DFBnB
"(4, 5, 7, 10, 6, 14, 1, 2, 9, 12, 3, 11, 15, 8, 13)",15,0,14,39152,IDA*
"(4, 5, 7, 10, 6, 14, 1, 2, 9, 12, 3, 11, 15, 8, 13)",15,70,70,71727,DFBnB
"(4, 5, 7, 10, 6, 14, 1, 2, 9, 12, 3, 11, 15, 8, 13)",15,60,60,6862,DFBnB
"(4, 5, 7, 10, 6, 14, 1, 2, 9, 12, 3, 11, 15, 8, 13)",15,50,50,25428,DFBnB
"(4, 5, 7, 10, 6, 14, 1, 2, 9, 12, 3, 11, 15, 8, 13)",15,40,40,4881,DFBnB
"(4, 5, 7, 10, 6, 14, 1, 2, 9, 12, 3, 11, 15, 8, 13)",15,30,30,13191,DFBnB
"(10, 8, 5, 4, 2, 3, 14, 1, 12, 9, 11, 13, 15, 6, 7)",15,0,13,142921,IDA*
"(10, 8, 5, 4, 2, 3, 14, 1, 12, 9, 11, 13, 15, 6, 7)",15,70,70,26923,DFBnB
"(10, 8, 5, 4, 2, 3, 14, 1, 12, 9, 11, 13, 15, 6, 7)",15,60,60,10574,DFBnB
"(10, 8, 5, 4, 2, 3, 14, 1, 12, 9, 11, 13, 15, 6, 7)",15,50,50,6408,DFBnB
"(10, 8, 5, 4, 2, 3, 14, 1, 12, 9, 11, 13, 15, 6, 7)",15,40,40,8736,DFBnB
"(10, 8, 5, 4, 2, 3, 14, 1, 12, 9, 11, 13, 15, 6, 7)",15,30,30,147043,DFBnB
"(5, 8, 3, 11, 9, 13, 7, 10, 1, 12, 14, 15, 2, 6, 4)",15,0,14,20196,IDA*
"(5, 8, 3, 11, 9, 13, 7, 10, 1, 12, 14, 15, 2, 6, 4)",15,70,70,10006,DFBnB
"(5, 8, 3, 11, 9, 13, 7, 10, 1, 12, 14, 15, 2, 6, 4)",15,60,60,22233,DFBnB
"(5, 8, 3, 11, 9, 13, 7, 10, 1, 12, 14, 15, 2, 6, 4)",15,50,50,36393,DFBnB
"(5, 8, 3, 11, 9, 13, 7, 10, 1, 12, 14, 15, 2, 6, 4)",15,40,40,13588,DFBnB
"(5, 8, 3, 11, 9, 13, 7, 10, 1, 12, 14, 15, 2, 6, 4)",15,30,30,12013,DFBnB
"(8, 3, 11, 13, 9, 7, 14, 5, 12, 2, 1, 4, 10, 6, 15)",15,0,14,3342,IDA*
"(8, 3, 11, 13, 9, 7, 14, 5, 12, 2, 1, 4, 10, 6, 15)",15,70,70,2524,DFBnB
"(8, 3, 11, 13, 9, 7, 14, 5, 12, 2, 1, 4, 10, 6, 15)",15,60,60,1026,DFBnB
